depth,seed,dataset,attack,positions,correct,token_accuracy,distinct_token_types,macro_token_type_accuracy,exact_sequence_match,non_special_token_accuracy,exact_decoded_text_match,training_seen_positions,training_seen_token_accuracy
36,42,current_prompt,mlp,4096,461,0.112548828125,92,0.25181184185760846,False,0.11268638474700562,False,3221,0.14312325364793543
36,42,current_prompt,cosine,4096,0,0.0,92,0.0,False,0.0,False,3221,0.0
36,42,current_output_inputs,mlp,78,26,0.3333333333333333,57,0.2957393483709273,False,0.3333333333333333,False,67,0.3880597014925373
36,42,current_output_inputs,cosine,78,0,0.0,57,0.0,False,0.0,False,67,0.0
36,43,public_test,mlp,8192,4937,0.6026611328125,2172,0.23726978730297474,False,0.6026611328125,False,6899,0.715610958109871
36,43,public_test,cosine,8192,148,0.01806640625,2172,0.0009597701095230549,False,0.01806640625,False,6899,0.021017538773735325
36,43,current_prompt,mlp,4096,325,0.079345703125,92,0.2507427164749819,False,0.07944267905157663,False,3221,0.10090034150884819
36,43,current_prompt,cosine,4096,0,0.0,92,0.0,False,0.0,False,3221,0.0
36,43,current_output_inputs,mlp,78,23,0.2948717948717949,57,0.2644110275689223,False,0.2948717948717949,False,67,0.34328358208955223
36,43,current_output_inputs,cosine,78,0,0.0,57,0.0,False,0.0,False,67,0.0
