#Entity         GRACT        SMACT        DRAMA        PCITX                       PCIRX                       POWER             SMCLK        MMCLK        GPUTL             MCUTL             FBUSD             
ID                                                                                                              W                                                                                                
GPU 1           0.000        0.000        0.000        452169                      268141                      85.679            1695         6251         0                 0                 2042              
GPU 2           0.000        0.000        0.000        478133                      276787                      108.245           1695         6251         0                 0                 4240              
GPU 3           0.000        0.000        0.000        481307                      282462                      86.683            1695         6251         0                 0                 4240              
GPU 0           0.004        0.002        0.001        28644419                    21533661                    96.793            1695         6251         10                7                 2042              
GPU 1           0.004        0.002        0.001        23939706                    21532225                    87.275            1695         6251         12                9                 2042              
GPU 2           0.000        0.000        0.000        400209                      227890                      116.458           1695         6251         20                16                4240              
GPU 3           0.000        0.000        0.000        412978                      234021                      92.120            1695         6251         42                16                4240              
GPU 0           0.080        0.051        0.048        62618476                    109152656                   100.384           1695         6251         9                 8                 2042              
GPU 1           0.091        0.051        0.048        52899287                    179729304                   95.892            1695         6251         11                7                 2042              
GPU 2           0.177        0.115        0.106        168946452                   159590503                   128.902           1695         6251         20                16                4240              
GPU 3           0.349        0.117        0.106        291170855                   1347828912                  106.515           1695         6251         39                15                4240              
GPU 0           0.090        0.063        0.061        33656364                    43929790                    102.571           1695         6251         10                7                 2042              
GPU 1           0.120        0.064        0.061        40904144                    259530554                   94.177            1695         6251         10                7                 2042              
GPU 2           0.191        0.129        0.124        22629783                    34556504                    129.382           1695         6251         19                15                4240              
GPU 3           0.407        0.133        0.125        192056563                   1565145607                  104.317           1695         6251         40                15                4240              
GPU 0           0.089        0.063        0.061        33097492                    38926068                    102.800           1695         6251         9                 7                 2042              
GPU 1           0.118        0.063        0.061        39190645                    244093396                   92.405            1695         6251         12                8                 2042              
GPU 2           0.192        0.130        0.125        22702847                    34634214                    125.080           1695         6251         20                16                4240              
GPU 3           0.409        0.133        0.125        193273563                   1576410210                  101.553           1695         6251         42                16                4240              
GPU 0           0.089        0.063        0.061        32669917                    34935550                    98.364            1695         6251         10                6                 2042              
GPU 1           0.117        0.063        0.061        38360772                    236720827                   96.854            1695         6251         11                6                 2042              
GPU 2           0.192        0.130        0.125        22696368                    34697238                    135.886           1680         6251         20                16                4240              
GPU 3           0.411        0.133        0.125        195646649                   1597526287                  105.916           1680         6251         37                14                4240              
GPU 0           0.091        0.060        0.057        92331197                    111790953                   100.122           1695         6251         10                8                 2042              
GPU 1           0.110        0.060        0.057        82075978                    239856367                   96.502            1695         6251         11                7                 2042              
GPU 2           0.198        0.129        0.120        171249977                   163190388                   128.839           1695         6251         20                16                4240              
GPU 3           0.395        0.131        0.120        315164279                   1547874693                  106.843           1695         6251         41                15                4240              
GPU 0           0.100        0.063        0.061        41789568                    117347815                   103.623           1695         6251         9                 7                 2042              
GPU 1           0.115        0.063        0.061        36335300                    218428258                   94.126            1695         6251         11                7                 2042              
GPU 2           0.192        0.130        0.125        22685605                    34622370                    129.998           1695         6251         19                15                4240              
GPU 3           0.412        0.132        0.124        197204214                   1611802999                  103.151           1695         6251         40                16                4240              
GPU 0           0.090        0.061        0.059        34668103                    60869122                    101.412           1695         6251         9                 7                 2042              
GPU 1           0.114        0.061        0.059        37253800                    229342115                   93.934            1695         6251         14                8                 2042              
GPU 2           0.208        0.132        0.126        33378296                    129243144                   125.945           1695         6251         20                16                4240              
GPU 3           0.395        0.134        0.126        181332523                   1467209569                  104.667           1695         6251         41                16                4240              
#Entity         GRACT        SMACT        DRAMA        PCITX                       PCIRX                       POWER             SMCLK        MMCLK        GPUTL             MCUTL             FBUSD             
ID                                                                                                              W                                                                                                
GPU 0           0.092        0.063        0.061        35309115                    58862629                    99.302            1695         6251         10                9                 2042              
GPU 1           0.121        0.064        0.061        41019601                    260112767                   95.382            1695         6251         12                7                 2042              
GPU 2           0.196        0.131        0.126        24314636                    47948331                    131.181           1695         6251         22                15                4240              
GPU 3           0.405        0.134        0.126        189880576                   1544048160                  106.665           1695         6251         27                15                4240              
GPU 0           0.089        0.062        0.059        88999565                    73266955                    100.699           1695         6251         9                 7                 2042              
GPU 1           0.126        0.062        0.059        92932372                    333305789                   92.195            1695         6251         12                7                 2042              
GPU 2           0.209        0.128        0.119        181083948                   252894322                   120.271           1695         6251         26                15                4240              
GPU 3           0.371        0.130        0.119        296206804                   1377946624                  108.782           1695         6251         27                15                4240              
GPU 0           0.085        0.061        0.059        30706785                    25683697                    101.995           1695         6251         9                 8                 2042              
GPU 1           0.125        0.062        0.059        46300200                    311468744                   94.929            1695         6251         13                8                 2042              
GPU 2           0.222        0.132        0.126        44354040                    227839632                   129.415           1695         6251         19                15                4240              
GPU 3           0.375        0.134        0.126        164663693                   1316848776                  104.945           1695         6251         40                15                4240              
GPU 0           0.091        0.063        0.061        34536218                    51540804                    102.518           1695         6251         9                 7                 2042              
GPU 1           0.125        0.064        0.061        44055838                    287912180                   92.842            1695         6251         13                8                 2042              
GPU 2           0.193        0.131        0.126        22915327                    35472655                    126.080           1695         6251         27                16                4240              
GPU 3           0.397        0.134        0.126        182129807                   1474457729                  102.317           1695         6251         37                15                4240              
GPU 0           0.094        0.063        0.061        36714642                    71040698                    101.644           1695         6251         9                 7                 2042              
GPU 1           0.125        0.064        0.061        44201258                    288835354                   95.274            1695         6251         12                7                 2042              
GPU 2           0.200        0.130        0.125        28507726                    86865600                    128.381           1695         6251         20                16                4240              
GPU 3           0.395        0.133        0.125        181929626                   1473681469                  105.305           1695         6251         42                16                4240              
