time_ns,index,uuid,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1788601128589223392,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 41, 15, 4241, 105.30, 1695, 6251, 4, 16
1788601129589287080,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 9, 7, 2043, 102.80, 1695, 6251, 4, 16
1788601129589287080,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 11, 7, 2043, 92.68, 1695, 6251, 4, 16
1788601129589287080,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 20, 16, 4241, 125.08, 1695, 6251, 4, 16
1788601129589287080,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 43, 16, 4241, 101.32, 1695, 6251, 4, 16
1788601130589326211,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 10, 6, 2043, 98.36, 1695, 6251, 4, 16
1788601130589326211,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 11, 7, 2043, 97.15, 1695, 6251, 4, 16
1788601130589326211,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 20, 16, 4241, 135.89, 1680, 6251, 4, 16
1788601130589326211,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 42, 16, 4241, 106.22, 1680, 6251, 4, 16
1788601131589355910,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 10, 8, 2043, 100.12, 1695, 6251, 4, 16
1788601131589355910,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 11, 7, 2043, 95.58, 1695, 6251, 4, 16
1788601131589355910,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 20, 16, 4241, 128.84, 1695, 6251, 4, 16
1788601131589355910,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 41, 15, 4241, 105.81, 1695, 6251, 4, 16
1788601132589378922,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 9, 7, 2043, 103.62, 1695, 6251, 4, 16
1788601132589378922,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 11, 7, 2043, 94.84, 1695, 6251, 4, 16
1788601132589378922,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 19, 15, 4241, 130.00, 1695, 6251, 4, 16
1788601132589378922,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 40, 15, 4241, 104.80, 1695, 6251, 4, 16
1788601133589404410,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 9, 7, 2043, 101.41, 1695, 6251, 4, 16
1788601133589404410,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 14, 9, 2043, 92.86, 1695, 6251, 4, 16
1788601133589404410,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 20, 16, 4241, 125.94, 1695, 6251, 4, 16
1788601133589404410,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 42, 16, 4241, 103.47, 1695, 6251, 4, 16
1788601134589431429,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 10, 9, 2043, 99.30, 1695, 6251, 4, 16
1788601134589431429,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 6, 3, 2043, 95.16, 1695, 6251, 4, 16
1788601134589431429,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 22, 15, 4241, 131.18, 1695, 6251, 4, 16
1788601134589431429,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 36, 15, 4241, 113.81, 1605, 6251, 4, 16
1788601135589462381,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 9, 7, 2043, 100.70, 1695, 6251, 4, 16
1788601135589462381,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 12, 7, 2043, 92.19, 1695, 6251, 4, 16
1788601135589462381,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 26, 15, 4241, 120.27, 1695, 6251, 4, 16
1788601135589462381,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 27, 15, 4241, 108.40, 1695, 6251, 4, 16
1788601136589522424,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 9, 8, 2043, 102.00, 1695, 6251, 4, 16
1788601136589522424,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 13, 8, 2043, 94.93, 1695, 6251, 4, 16
1788601136589522424,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 19, 15, 4241, 129.41, 1695, 6251, 4, 16
1788601136589522424,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 40, 15, 4241, 104.94, 1695, 6251, 4, 16
1788601137589557405,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 9, 7, 2043, 102.52, 1695, 6251, 4, 16
1788601137589557405,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 13, 8, 2043, 93.04, 1695, 6251, 4, 16
1788601137589557405,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 27, 16, 4241, 126.08, 1695, 6251, 4, 16
1788601137589557405,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 37, 15, 4241, 102.23, 1695, 6251, 4, 16
1788601138589623376,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 9, 7, 2043, 101.64, 1695, 6251, 4, 16
1788601138589623376,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 12, 7, 2043, 95.27, 1695, 6251, 4, 16
1788601138589623376,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 20, 16, 4241, 128.38, 1695, 6251, 4, 16
1788601138589623376,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 42, 16, 4241, 105.31, 1695, 6251, 4, 16
