topology,observed_time_ns,gpu_index,role,dcgm_1001_gr_active,dcgm_1002_sm_active,dcgm_1005_dram_active,dcgm_1009_pcie_tx_bytes,dcgm_1010_pcie_rx_bytes,dcgm_155_power,dcgm_100_sm_clock,dcgm_101_mem_clock,dcgm_203_gpu_util,dcgm_204_mem_util,dcgm_252_fb_used
tp_1_1,1788598535523136950,0,enterprise,0.139,0.12,0.114,22906005.0,9432486.0,97.32,1665.0,6251.0,4.0,3.0,3476.0
tp_1_1,1788598535523176869,1,unused,0.0,0.0,0.0,461391.0,259341.0,25.257,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598535523185408,2,cloud,0.298,0.246,0.23,7650528.0,22514252.0,141.476,1605.0,6251.0,30.0,21.0,7888.0
tp_1_1,1788598535523191696,3,unused,0.0,0.0,0.0,470077.0,263939.0,24.756,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598536523917409,0,enterprise,0.115,0.094,0.085,64041108.0,25344506.0,104.888,1695.0,6251.0,16.0,16.0,3476.0
tp_1_1,1788598536523951543,1,unused,0.0,0.0,0.0,463365.0,260611.0,25.256,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598536523959375,2,cloud,0.295,0.231,0.196,25850066.0,34799798.0,135.272,1605.0,6251.0,32.0,31.0,7888.0
tp_1_1,1788598536523970066,3,unused,0.0,0.0,0.0,482195.0,269763.0,24.708,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598537524758960,0,enterprise,0.144,0.115,0.118,80943560.0,9757644.0,113.745,1695.0,6251.0,16.0,16.0,3476.0
tp_1_1,1788598537524793123,1,unused,0.0,0.0,0.0,463794.0,260564.0,25.165,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598537524802133,2,cloud,0.322,0.239,0.249,7132481.0,22867146.0,140.705,1665.0,6251.0,34.0,33.0,7888.0
tp_1_1,1788598537524812185,3,unused,0.0,0.0,0.0,504771.0,281054.0,24.664,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598538525794384,0,enterprise,0.146,0.117,0.12,83100679.0,9799528.0,106.944,1695.0,6251.0,16.0,16.0,3476.0
tp_1_1,1788598538525831590,1,unused,0.0,0.0,0.0,461880.0,259328.0,25.115,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598538525839297,2,cloud,0.329,0.244,0.255,7140144.0,23253049.0,142.141,1590.0,6251.0,31.0,30.0,7888.0
tp_1_1,1788598538525850227,3,unused,0.0,0.0,0.0,482357.0,270079.0,24.62,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598539526631785,0,enterprise,0.144,0.115,0.118,80570248.0,9778099.0,109.712,1695.0,6251.0,16.0,16.0,3476.0
tp_1_1,1788598539526659779,1,unused,0.0,0.0,0.0,461748.0,260053.0,25.224,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598539526676302,2,cloud,0.321,0.238,0.248,8548160.0,22805670.0,138.886,1665.0,6251.0,34.0,33.0,7888.0
tp_1_1,1788598539526682617,3,unused,0.0,0.0,0.0,489892.0,273357.0,24.628,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598540527433290,0,enterprise,0.158,0.127,0.123,99297731.0,10081130.0,109.882,1680.0,6251.0,0.0,0.0,3670.0
tp_1_1,1788598540527474039,1,unused,0.0,0.0,0.0,472939.0,267691.0,25.224,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598540527482293,2,cloud,0.305,0.226,0.236,6658468.0,21594840.0,127.668,1680.0,6251.0,77.0,33.0,8082.0
tp_1_1,1788598540527493411,3,unused,0.0,0.0,0.0,482742.0,272342.0,24.67,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598541528194262,0,enterprise,0.107,0.093,0.08,17947239.0,25214194.0,115.813,1695.0,6251.0,14.0,14.0,3670.0
tp_1_1,1788598541528225089,1,unused,0.0,0.0,0.0,474761.0,269611.0,25.171,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598541528232230,2,cloud,0.317,0.266,0.202,25943752.0,36184142.0,134.706,1680.0,6251.0,32.0,31.0,8082.0
tp_1_1,1788598541528241879,3,unused,0.0,0.0,0.0,468620.0,267052.0,24.67,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598542529052912,0,enterprise,0.146,0.127,0.12,23695905.0,9896826.0,99.003,1695.0,6251.0,15.0,15.0,3670.0
tp_1_1,1788598542529083813,1,unused,0.0,0.0,0.0,463482.0,260388.0,25.122,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598542529090724,2,cloud,0.322,0.267,0.249,6584058.0,24091075.0,159.787,1650.0,6251.0,32.0,31.0,8082.0
tp_1_1,1788598542529099627,3,unused,0.0,0.0,0.0,470105.0,263954.0,24.627,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598543529976618,0,enterprise,0.141,0.123,0.116,22858233.0,9548007.0,113.609,1695.0,6251.0,15.0,15.0,3670.0
tp_1_1,1788598543530008696,1,unused,0.0,0.0,0.0,487873.0,273373.0,25.116,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598543530015645,2,cloud,0.316,0.261,0.244,7990187.0,23634331.0,127.859,1590.0,6251.0,32.0,31.0,8082.0
tp_1_1,1788598543530025028,3,unused,0.0,0.0,0.0,467797.0,262560.0,24.621,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598544530857090,0,enterprise,0.146,0.127,0.12,23690647.0,9880401.0,116.78,1695.0,6251.0,14.0,15.0,3670.0
tp_1_1,1788598544530895163,1,unused,0.0,0.0,0.0,485288.0,271311.0,25.115,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598544530902859,2,cloud,0.319,0.264,0.246,6588134.0,23847358.0,141.715,1680.0,6251.0,32.0,31.0,8082.0
tp_1_1,1788598544530912641,3,unused,0.0,0.0,0.0,457291.0,257290.0,24.566,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598545531744338,0,enterprise,0.146,0.127,0.12,23775583.0,9928957.0,103.737,1695.0,6251.0,15.0,15.0,3670.0
tp_1_1,1788598545531752897,1,unused,0.0,0.0,0.0,474682.0,265985.0,25.115,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598545531758771,2,cloud,0.323,0.267,0.249,6634503.0,24136068.0,145.396,1680.0,6251.0,32.0,31.0,8082.0
tp_1_1,1788598545531766507,3,unused,0.0,0.0,0.0,468017.0,262908.0,24.514,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598546532628852,0,enterprise,0.146,0.127,0.12,23757942.0,9917172.0,102.248,1695.0,6251.0,14.0,14.0,3670.0
tp_1_1,1788598546532654110,1,unused,0.0,0.0,0.0,474724.0,266009.0,25.016,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598546532660941,2,cloud,0.323,0.267,0.249,8103725.0,24129058.0,153.126,1680.0,6251.0,32.0,31.0,8082.0
tp_1_1,1788598546532670023,3,unused,0.0,0.0,0.0,458872.0,258339.0,24.512,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598547533511508,0,enterprise,0.146,0.127,0.12,23651327.0,9858428.0,98.591,1695.0,6251.0,15.0,15.0,3670.0
tp_1_1,1788598547533546407,1,unused,0.0,0.0,0.0,461398.0,259856.0,24.916,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598547533563000,2,cloud,0.323,0.267,0.249,6618079.0,24134149.0,165.282,1665.0,6251.0,32.0,31.0,8082.0
tp_1_1,1788598547533574491,3,unused,0.0,0.0,0.0,482356.0,270078.0,24.463,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598548534349312,0,enterprise,0.146,0.127,0.12,23677302.0,9870103.0,100.498,1695.0,6251.0,15.0,15.0,3670.0
tp_1_1,1788598548534376634,1,unused,0.0,0.0,0.0,461885.0,259331.0,24.966,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598548534383871,2,cloud,0.323,0.267,0.249,6603575.0,24109443.0,164.116,1650.0,6251.0,33.0,32.0,8082.0
tp_1_1,1788598548534400218,3,unused,0.0,0.0,0.0,481264.0,269303.0,24.407,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598549535254072,0,enterprise,0.14,0.122,0.115,22903360.0,9447962.0,97.557,1680.0,6251.0,17.0,10.0,3670.0
tp_1_1,1788598549535294326,1,unused,0.0,0.0,0.0,462396.0,260354.0,25.023,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598549535302482,2,cloud,0.301,0.249,0.232,6202629.0,22534788.0,153.398,1155.0,6251.0,33.0,18.0,8082.0
tp_1_1,1788598549535313312,3,unused,0.0,0.0,0.0,472206.0,265008.0,24.409,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598550536140239,0,enterprise,0.092,0.08,0.046,63210624.0,40237035.0,88.147,1200.0,6251.0,0.0,0.0,3670.0
tp_1_1,1788598550536189966,1,unused,0.0,0.0,0.0,463427.0,260358.0,24.974,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598550536198067,2,cloud,0.241,0.205,0.106,43872996.0,43053552.0,133.119,1680.0,6251.0,32.0,14.0,8082.0
tp_1_1,1788598550536209001,3,unused,0.0,0.0,0.0,481861.0,269576.0,24.415,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598551536953100,0,enterprise,0.097,0.082,0.06,45234352.0,41744132.0,97.476,1695.0,6251.0,14.0,14.0,3670.0
tp_1_1,1788598551536984679,1,unused,0.0,0.0,0.0,463531.0,260928.0,24.917,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598551536995713,2,cloud,0.347,0.286,0.179,45768526.0,49527052.0,131.36,1680.0,6251.0,34.0,33.0,8082.0
tp_1_1,1788598551537001960,3,unused,0.0,0.0,0.0,481450.0,269121.0,24.407,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598552537793388,0,enterprise,0.148,0.119,0.121,81786678.0,9811390.0,109.1,1695.0,6251.0,16.0,16.0,3670.0
tp_1_1,1788598552537821537,1,unused,0.0,0.0,0.0,464509.0,260391.0,24.917,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598552537828821,2,cloud,0.332,0.249,0.256,8617808.0,22941747.0,137.715,1590.0,6251.0,33.0,32.0,8082.0
tp_1_1,1788598552537838200,3,unused,0.0,0.0,0.0,480850.0,269583.0,24.357,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598553538663986,0,enterprise,0.15,0.121,0.122,83085796.0,9940557.0,109.92,1695.0,6251.0,14.0,14.0,3670.0
tp_1_1,1788598553538693287,1,unused,0.0,0.0,0.0,465204.0,261517.0,24.917,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598553538708155,2,cloud,0.343,0.257,0.265,7317000.0,23718990.0,146.561,1635.0,6251.0,35.0,34.0,8082.0
tp_1_1,1788598553538717956,3,unused,0.0,0.0,0.0,483763.0,270293.0,24.308,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598554539474259,0,enterprise,0.148,0.119,0.121,80458620.0,9854009.0,107.628,1695.0,6251.0,16.0,16.0,3670.0
tp_1_1,1788598554539503198,1,unused,0.0,0.0,0.0,462039.0,259928.0,24.916,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598554539510516,2,cloud,0.334,0.25,0.257,7045859.0,23000988.0,138.528,1680.0,6251.0,31.0,30.0,8082.0
tp_1_1,1788598554539519686,3,unused,0.0,0.0,0.0,480625.0,269457.0,24.302,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598555540346241,0,enterprise,0.152,0.122,0.124,83148179.0,10024888.0,111.856,1695.0,6251.0,16.0,16.0,3670.0
tp_1_1,1788598555540376598,1,unused,0.0,0.0,0.0,463195.0,260515.0,24.917,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598555540383883,2,cloud,0.344,0.258,0.265,8902578.0,23635410.0,140.658,1665.0,6251.0,36.0,34.0,8082.0
tp_1_1,1788598555540393123,3,unused,0.0,0.0,0.0,471602.0,264445.0,24.302,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598556541187877,0,enterprise,0.146,0.118,0.12,80343351.0,9744648.0,107.194,1695.0,6251.0,14.0,14.0,3670.0
tp_1_1,1788598556541220885,1,unused,0.0,0.0,0.0,462403.0,259846.0,24.759,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598556541238280,2,cloud,0.339,0.255,0.262,7146020.0,23382560.0,144.002,1635.0,6251.0,32.0,31.0,8082.0
tp_1_1,1788598556541244911,3,unused,0.0,0.0,0.0,480643.0,269242.0,24.25,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598557542043455,0,enterprise,0.152,0.123,0.124,83169833.0,10048867.0,110.704,1695.0,6251.0,16.0,16.0,3670.0
tp_1_1,1788598557542080722,1,unused,0.0,0.0,0.0,463289.0,260568.0,24.701,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598557542088116,2,cloud,0.339,0.254,0.26,7261605.0,23287322.0,136.125,1605.0,6251.0,35.0,34.0,8082.0
tp_1_1,1788598557542098163,3,unused,0.0,0.0,0.0,480837.0,269064.0,24.2,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598558542923635,0,enterprise,0.152,0.122,0.124,83174533.0,10085419.0,110.906,1695.0,6251.0,15.0,15.0,3670.0
tp_1_1,1788598558542952407,1,unused,0.0,0.0,0.0,464988.0,261396.0,24.701,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598558542965069,2,cloud,0.345,0.259,0.266,7293351.0,23727690.0,145.149,1635.0,6251.0,36.0,34.0,8082.0
tp_1_1,1788598558542974819,3,unused,0.0,0.0,0.0,481852.0,269571.0,24.202,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598559543755798,0,enterprise,0.147,0.118,0.12,80417015.0,9794839.0,108.461,1695.0,6251.0,16.0,16.0,3670.0
tp_1_1,1788598559543764469,1,unused,0.0,0.0,0.0,461306.0,259581.0,24.651,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598559543771041,2,cloud,0.334,0.25,0.257,8537175.0,22901011.0,137.775,1635.0,6251.0,34.0,33.0,8082.0
tp_1_1,1788598559543779350,3,unused,0.0,0.0,0.0,470376.0,264107.0,24.202,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598560544570323,0,enterprise,0.185,0.151,0.126,133500918.0,8781305.0,104.316,1695.0,6251.0,0.0,0.0,4218.0
tp_1_1,1788598560544605873,1,unused,0.0,0.0,0.0,462777.0,262103.0,24.601,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598560544613180,2,cloud,0.224,0.169,0.175,4927583.0,15643771.0,126.405,1695.0,6251.0,0.0,0.0,8082.0
tp_1_1,1788598560544622607,3,unused,0.0,0.0,0.0,482962.0,272689.0,24.202,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598561545419660,0,enterprise,0.0,0.0,0.0,411845.0,238409.0,95.871,1695.0,6251.0,0.0,0.0,4218.0
tp_1_1,1788598561545459961,1,unused,0.0,0.0,0.0,471710.0,268086.0,24.601,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598561545466527,2,cloud,0.496,0.429,0.223,11779440.0,84618310.0,147.306,1680.0,6251.0,3.0,0.0,8802.0
tp_1_1,1788598561545475720,3,unused,0.0,0.0,0.0,483627.0,273799.0,24.15,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598562546399810,0,enterprise,0.108,0.093,0.064,12550561.0,78920817.0,97.724,1695.0,6251.0,15.0,15.0,4390.0
tp_1_1,1788598562546430469,1,unused,0.0,0.0,0.0,474431.0,266644.0,24.701,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598562546437594,2,cloud,0.151,0.123,0.09,77432804.0,5645827.0,130.331,1635.0,6251.0,34.0,32.0,8802.0
tp_1_1,1788598562546455301,3,unused,0.0,0.0,0.0,457355.0,257838.0,24.099,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598563547370454,0,enterprise,0.149,0.128,0.121,24469227.0,9858908.0,115.653,1695.0,6251.0,15.0,16.0,4390.0
tp_1_1,1788598563547412164,1,unused,0.0,0.0,0.0,472498.0,265684.0,24.701,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598563547420238,2,cloud,0.331,0.272,0.251,6510871.0,23715359.0,135.653,1635.0,6251.0,34.0,32.0,8802.0
tp_1_1,1788598563547431561,3,unused,0.0,0.0,0.0,457631.0,257993.0,24.098,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598564548289803,0,enterprise,0.151,0.13,0.122,23682786.0,9879382.0,108.68,1695.0,6251.0,14.0,14.0,4390.0
tp_1_1,1788598564548323025,1,unused,0.0,0.0,0.0,475811.0,266556.0,24.699,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598564548331189,2,cloud,0.343,0.281,0.259,6800365.0,24569721.0,152.024,1635.0,6250.0,34.0,33.0,8802.0
tp_1_1,1788598564548341556,3,unused,0.0,0.0,0.0,456877.0,257345.0,24.043,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598565549224867,0,enterprise,0.149,0.128,0.121,23084185.0,9857537.0,104.955,1695.0,6251.0,15.0,16.0,4390.0
tp_1_1,1788598565549253724,1,unused,0.0,0.0,0.0,473597.0,265726.0,24.643,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598565549261536,2,cloud,0.332,0.273,0.251,8134110.0,23841374.0,140.086,1635.0,6251.0,34.0,33.0,8802.0
tp_1_1,1788598565549271624,3,unused,0.0,0.0,0.0,457610.0,257470.0,23.993,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598566550178028,0,enterprise,0.152,0.131,0.123,23696635.0,9975752.0,112.654,1695.0,6251.0,15.0,16.0,4390.0
tp_1_1,1788598566550204176,1,unused,0.0,0.0,0.0,472848.0,265081.0,24.588,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598566550211906,2,cloud,0.342,0.28,0.259,6666567.0,24431282.0,118.233,1680.0,6251.0,34.0,32.0,8802.0
tp_1_1,1788598566550221492,3,unused,0.0,0.0,0.0,455619.0,256477.0,23.942,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598567551124169,0,enterprise,0.152,0.131,0.124,23694371.0,9997110.0,120.843,1695.0,6251.0,15.0,16.0,4390.0
tp_1_1,1788598567551151902,1,unused,0.0,0.0,0.0,462379.0,259832.0,24.588,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598567551159956,2,cloud,0.343,0.281,0.259,6722393.0,24516302.0,125.609,1665.0,6251.0,34.0,33.0,8802.0
tp_1_1,1788598567551180817,3,unused,0.0,0.0,0.0,480274.0,269035.0,23.888,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598568552021129,0,enterprise,0.153,0.131,0.124,23697236.0,10007263.0,115.697,1695.0,6251.0,15.0,15.0,4390.0
tp_1_1,1788598568552054045,1,unused,0.0,0.0,0.0,462402.0,259845.0,24.545,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598568552061993,2,cloud,0.343,0.281,0.259,6761052.0,24542958.0,141.61,1590.0,6251.0,34.0,33.0,8802.0
tp_1_1,1788598568552071718,3,unused,0.0,0.0,0.0,482264.0,269801.0,23.935,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598569552844896,0,enterprise,0.151,0.13,0.122,23655308.0,9883059.0,98.646,1695.0,6251.0,15.0,16.0,4390.0
tp_1_1,1788598569552878965,1,unused,0.0,0.0,0.0,461279.0,259565.0,24.502,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598569552885880,2,cloud,0.343,0.281,0.26,8257415.0,24592025.0,164.148,1650.0,6251.0,34.0,33.0,8802.0
tp_1_1,1788598569552895126,3,unused,0.0,0.0,0.0,482308.0,271074.0,23.936,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598570553773560,0,enterprise,0.15,0.129,0.122,23006483.0,9914921.0,100.973,1695.0,6251.0,15.0,16.0,4390.0
tp_1_1,1788598570553800825,1,unused,0.0,0.0,0.0,462108.0,259968.0,24.502,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598570553809453,2,cloud,0.342,0.281,0.259,6804526.0,24550817.0,164.828,1665.0,6251.0,34.0,32.0,8802.0
tp_1_1,1788598570553818637,3,unused,0.0,0.0,0.0,482731.0,269776.0,23.888,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598571554705072,0,enterprise,0.153,0.13,0.1,88249515.0,6833092.0,104.637,1695.0,6251.0,0.0,0.0,4390.0
tp_1_1,1788598571554732307,1,unused,0.0,0.0,0.0,462010.0,259912.0,24.502,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598571554739064,2,cloud,0.147,0.121,0.113,3206981.0,10811598.0,122.778,1695.0,6251.0,0.0,0.0,8802.0
tp_1_1,1788598571554747758,3,unused,0.0,0.0,0.0,481361.0,269582.0,23.894,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598572555635549,0,enterprise,0.0,0.0,0.0,391845.0,225080.0,89.873,1695.0,6251.0,0.0,0.0,4390.0
tp_1_1,1788598572555686294,1,unused,0.0,0.0,0.0,474726.0,266010.0,24.502,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598572555697686,2,cloud,0.512,0.448,0.232,11880387.0,84919680.0,142.717,1680.0,6251.0,2.0,0.0,8802.0
tp_1_1,1788598572555703421,3,unused,0.0,0.0,0.0,479533.0,268170.0,23.894,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598573556481489,0,enterprise,0.169,0.147,0.093,60291832.0,79764135.0,97.719,1680.0,6251.0,0.0,0.0,4390.0
tp_1_1,1788598573556488782,1,unused,0.0,0.0,0.0,461921.0,259862.0,24.502,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598573556497219,2,cloud,0.086,0.069,0.048,76475808.0,2079662.0,109.438,1695.0,6251.0,0.0,0.0,8802.0
tp_1_1,1788598573556503330,3,unused,0.0,0.0,0.0,482152.0,270250.0,23.844,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598574557360140,0,enterprise,0.0,0.0,0.0,26371280.0,246728.0,95.013,1695.0,6251.0,0.0,0.0,4390.0
tp_1_1,1788598574557397175,1,unused,0.0,0.0,0.0,461929.0,259355.0,24.451,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598574557404302,2,cloud,0.301,0.25,0.148,10699976.0,81589684.0,132.73,900.0,6251.0,100.0,42.0,8802.0
tp_1_1,1788598574557414021,3,unused,0.0,0.0,0.0,469751.0,263244.0,23.85,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598575558262626,0,enterprise,0.027,0.022,0.013,8973182.0,76228050.0,98.819,1680.0,6251.0,96.0,50.0,4390.0
tp_1_1,1788598575558291505,1,unused,0.0,0.0,0.0,463960.0,260881.0,24.352,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598575558297539,2,cloud,0.27,0.226,0.133,77570569.0,5399336.0,114.378,1695.0,6251.0,0.0,0.0,8802.0
tp_1_1,1788598575558306025,3,unused,0.0,0.0,0.0,482774.0,270312.0,23.85,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598576559143461,0,enterprise,0.147,0.125,0.079,77722420.0,3745325.0,95.68,1695.0,6251.0,0.0,0.0,4390.0
tp_1_1,1788598576559168485,1,unused,0.0,0.0,0.0,469814.0,264078.0,24.353,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598576559177550,2,cloud,0.137,0.111,0.072,9744378.0,78691370.0,124.652,975.0,6251.0,100.0,48.0,8802.0
tp_1_1,1788598576559184039,3,unused,0.0,0.0,0.0,481177.0,269479.0,23.8,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598577560039918,0,enterprise,0.0,0.0,0.0,402646.0,230156.0,97.645,1005.0,6251.0,62.0,16.0,4390.0
tp_1_1,1788598577560086383,1,unused,0.0,0.0,0.0,464166.0,260485.0,24.352,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598577560094918,2,cloud,0.452,0.394,0.206,78669087.0,8320424.0,122.492,1695.0,6251.0,0.0,0.0,8802.0
tp_1_1,1788598577560101010,3,unused,0.0,0.0,0.0,483026.0,270678.0,23.802,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598578560853415,0,enterprise,0.176,0.15,0.093,86150757.0,79713577.0,100.981,1695.0,6251.0,0.0,0.0,4390.0
tp_1_1,1788598578560891615,1,unused,0.0,0.0,0.0,463636.0,260987.0,24.303,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598578560899536,2,cloud,0.009,0.007,0.003,8858811.0,75987565.0,120.88,1005.0,6251.0,100.0,51.0,8802.0
tp_1_1,1788598578560910213,3,unused,0.0,0.0,0.0,481809.0,269547.0,23.752,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598579561777245,0,enterprise,0.0,0.0,0.0,403141.0,230950.0,92.62,1695.0,6251.0,0.0,0.0,4390.0
