topology,isl,osl,requested_concurrency,actual_batch_size,phase,unique_batches,enterprise_front_prefill_ms_mean,enterprise_front_decode_ms_mean,cloud_middle_prefill_ms_mean,cloud_middle_decode_ms_mean,enterprise_back_prefill_ms_mean,enterprise_back_decode_ms_mean,upload_bytes_mean,download_bytes_mean,upload_ms_mean,download_ms_mean,rpc_wall_ms_mean,cloud_queue_ms_mean,enterprise_stage_pack_ms_mean,enterprise_receive_ms_mean,cloud_receive_ms_mean,cloud_d2h_ms_mean,step_wall_ms_mean
tp_1_2,2048,1024,4,1,prefill,4,19.481943607330322,,100.96138191223145,,22.98515224456787,,16777515,16777690.75,56.04297375,63.59529425,277.98446724955284,0.09616850002203137,18.232162498861726,1.7273200154304504,2.1810719966888428,1.4837505004834384,344.5007140007874
tp_1_2,2048,1024,4,4,decode,1023,,2.5630706498583273,,18.553009118968557,,4.391695983249072,33296,33236.86901270772,5.459064641251222,5.445081515151515,30.62991701463549,0.039848012720015744,0.1217673880722975,0.11202912224877265,0.2694099701627841,0.08748427763950437,39.27134409575188
tp_1_2,8192,256,1,1,decode,255,,2.4614609559377034,,17.969682588764265,,4.292975689383114,8478,8659.192156862746,5.439486305882353,5.395857854901961,29.897082117603013,0.039670976462623325,0.10424644305934563,0.1041199685311785,0.2561227290653715,0.08435021173129059,37.81073985874708
tp_1_2,8192,256,1,1,prefill,1,92.81529235839844,,446.6513366699219,,123.74835205078125,,67109165,67109338,328.125772,363.844535,1516.7947740010277,0.11526299931574613,138.04751099814894,6.331744194030762,8.755104064941406,33.6877169975196,1893.8959560000512
tp_1_2,8192,256,4,1,prefill,4,97.20906448364258,,445.1136169433594,,122.65459251403809,,67109165,67109339.5,359.11680725,383.88349700000003,1569.7745340012261,0.18302250100532547,122.70971049929358,6.345936059951782,8.815439939498901,33.945426999707706,1934.2789412494312
tp_1_2,8192,256,4,4,decode,255,,2.5451683100532083,,18.287448449228325,,4.37035732830272,33296,33238.01176470588,5.458047156862745,5.4910138235294115,30.489738870542794,0.037784752902214176,0.11890156085570983,0.11005703508853912,0.26380636879042085,0.08758218034784601,39.13503965102113
tp_2_1,512,128,1,1,decode,127,,3.223769951993086,,13.809268666064645,,4.353476772158165,8477,8658.83464566929,5.426480157480315,5.377127913385827,25.45873601569136,0.03376299214932525,0.10483125991263155,0.2873630239738254,0.07633310233748804,0.0738993702847309,34.400913724469525
tp_2_1,512,128,1,1,prefill,1,13.551103591918945,,36.78879928588867,,6.111807823181152,,4194600,4194776,98.416461,90.657526,246.7261169986159,0.3337640009704046,7.967248999193544,0.8844799995422363,0.5424320101737976,2.3555709994980134,277.55538999917917
tp_2_1,512,128,4,1,prefill,4,4.624839901924133,,29.99222421646118,,6.081808090209961,,4194600,4194778,16.66674875,20.48249175,82.35669099940424,0.0807527494544047,4.493539750001219,0.8991760015487671,0.5369199961423874,0.5769780000264291,100.29710974959016
tp_2_1,512,128,4,4,decode,127,,3.3619479682501847,,14.221463901790107,,4.472023175457331,33292,33237.55905511811,5.481250866141732,5.423470118110236,26.0628131967048,0.05432757484592776,0.12446139346396616,0.2913970400498608,0.08190462990539281,0.07253891353469753,35.74123444072545
tp_2_1,2048,256,1,1,decode,255,,3.1947312925376146,,13.824582754396925,,4.350006834665934,8478,8659.61568627451,5.481752137254902,5.410571674509804,25.590226129519152,0.043097827480832004,0.10752025891812153,0.2850144632891113,0.07611683133770437,0.07090102346196278,34.503803392113234
tp_2_1,2048,256,1,1,prefill,1,15.552032470703125,,145.195556640625,,18.273759841918945,,16777515,16777690,60.309813,67.307621,353.71738000321784,0.12299300215090625,17.755999997461913,2.2674241065979004,1.4747519493103027,8.44109399986337,411.4281360016321
tp_2_1,2048,256,4,1,prefill,4,14.694616079330444,,144.89183807373047,,18.219664096832275,,16777515,16777691.5,55.33078775,68.51531975,340.491578500405,0.10523074979573721,23.6287280004035,2.348896026611328,1.4556240141391754,1.440841750081745,403.5534602489861
tp_2_1,2048,256,4,4,decode,255,,3.3161582451240688,,14.266115869260302,,4.420602850820504,33296,33237.69019607843,5.509645725490196,5.467337235294118,26.225217443154143,0.04470392159419134,0.11886006672569897,0.29046362299545136,0.08253778832800249,0.0782313723546252,35.82231470197667
tp_2_1,2048,1024,1,1,decode,1023,,3.218969838710125,,13.78878042215476,,4.360239800819554,8478,8659.544477028348,5.475919913978495,5.416462036168133,25.546526308881123,0.04360355418139043,0.10920642519914586,0.28506044179696377,0.07585626577672604,0.0748291613392642,34.494828952094075
tp_2_1,2048,1024,1,1,prefill,1,14.51756763458252,,146.27626037597656,,18.297279357910156,,16777515,16777690,99.037246,62.941816,358.60884100111434,0.096621999546187,7.3692229998414405,2.3202240467071533,1.4107199907302856,1.725152997096302,405.0985600006243
tp_2_1,2048,1024,4,1,prefill,4,14.910999774932861,,143.50500869750977,,18.403264045715332,,16777515,16777690.5,55.42999525,60.6878635,308.4553582484659,0.10987174937326927,16.684750748936494,2.3904000520706177,1.4680239856243134,2.2013994994267705,365.0097280005866
tp_2_1,2048,1024,4,4,decode,1023,,3.30515722561908,,14.206650771237072,,4.432134130949615,33296,33237.51515151515,5.497577395894428,5.440894999022483,26.093016945270513,0.043733931568012877,0.11962368126150871,0.2931276328228086,0.08157876048706843,0.08090687483321636,35.684031411522895
tp_2_1,8192,256,1,1,decode,255,,3.2548409723768046,,13.813099042107078,,4.359645746268478,8478,8659.611764705882,5.478062650980392,5.415049235294117,25.61132329016497,0.04518248622166449,0.10533185077114396,0.2830829180923163,0.07629239202714434,0.07097805861906405,34.62004819623818
tp_2_1,8192,256,1,1,prefill,1,65.18019104003906,,726.514404296875,,79.16831970214844,,67109165,67109340,344.961143,377.163997,1821.3522400001239,0.11571299910428934,139.59231600165367,8.904704093933105,6.440639972686768,34.178789999714354,2130.5795240004954
tp_2_1,8192,256,4,1,prefill,4,66.82300758361816,,721.373046875,,78.91972923278809,,67109165,67109340.5,359.0601855,386.4308275,1835.835008751019,0.19073175189987523,125.84232725112088,8.815279960632324,6.4896399974823,30.483854999147297,2134.1075282498423
tp_2_1,8192,256,4,4,decode,255,,3.3903232022827745,,14.21401461058972,,4.429016231088077,33296,33238.611764705885,5.503217992156863,5.515378482352941,26.32067411381571,0.04867769791470731,0.11753842747352525,0.29055774013201396,0.08374538050562727,0.08113394117875335,36.091766235354136
tp_2_2,512,128,1,1,decode,127,,3.3106416473238487,,18.22994035435474,,4.4587182435463735,8477,8658.133858267716,5.441927228346457,5.3974041889763775,30.141934960602516,0.03748418092745994,0.10677714975125442,0.29095533771777715,0.27995792089954136,0.07700037018567375,39.27859329128905
tp_2_2,512,128,1,1,prefill,1,13.463616371154785,,34.895263671875,,6.060863971710205,,4194600,4194773,98.551639,90.15779,244.9595460020646,0.29445799737004563,8.282876002340345,0.9134399890899658,0.8000959753990173,2.4109759979182854,276.0696680015826
tp_2_2,512,128,4,1,prefill,4,4.59827196598053,,26.59778356552124,,6.0206639766693115,,4194600,4194779.5,16.71188475,20.280897500000002,77.79360300082772,0.07370999992417637,4.396467748847499,0.9224639981985092,0.7905199974775314,0.5887052493562805,95.55921475111973
tp_2_2,512,128,4,4,decode,127,,3.4010497003089726,,18.54209692647138,,4.572926739069421,33292,33236.86614173228,5.495238417322835,5.432106377952756,30.619319118023117,0.04306144099847568,0.1286535356713983,0.30465914954350687,0.2734906458713877,0.0877771733109161,40.49195772456624
tp_2_2,2048,256,1,1,decode,255,,3.320251605089973,,18.143594001321233,,4.492425795162426,8478,8658.93725490196,5.445371807843137,5.404338945098039,30.07295749409298,0.03913397264185216,0.11373716089806027,0.29610641575327107,0.2592990119083255,0.08347566281194232,39.280269627388584
tp_2_2,2048,256,1,1,prefill,1,15.727359771728516,,102.63126373291016,,18.337215423583984,,16777515,16777691,53.585045,66.979867,295.6172929989407,0.08912100020097569,17.566233000252396,2.43340802192688,2.262752056121826,1.584443001775071,353.8657399985823
tp_2_2,2048,256,4,1,prefill,4,14.650959968566895,,101.92527961730957,,18.212024211883545,,16777515,16777691.75,54.94983025,67.721603,280.5031997504557,0.10440275036671665,24.79959125048481,2.387495994567871,2.137943983078003,1.4648539990957943,344.82909600046696
tp_2_2,2048,256,4,4,decode,255,,3.367829838921042,,18.520889267266966,,4.5754632744134645,33296,33236.79607843137,5.473611243137255,5.4459663725490195,30.609186462785217,0.04136119613951236,0.12230189798477416,0.3026642827426686,0.2725867930580588,0.08503958033899978,40.46414080790675
tp_2_2,2048,1024,1,1,decode,1023,,3.3179529720037912,,17.810634419132654,,4.479030608198626,8478,8659.00586510264,5.464079914956011,5.425777002932551,29.781326013664444,0.04697304590643208,0.1113944897575068,0.29676718690877785,0.2540681448674971,0.08180494821965667,38.98975206358381
tp_2_2,2048,1024,1,1,prefill,1,14.502240180969238,,101.58470153808594,,18.224735260009766,,16777515,16777692,90.099186,61.813766,314.2394099995727,0.09722100003273226,7.215585999801988,2.3980159759521484,2.1791679859161377,4.755246998684015,360.86086399882333
tp_2_2,2048,1024,4,1,prefill,4,14.661975860595703,,100.9653205871582,,18.225624084472656,,16777515,16777692.25,52.931452,64.45449325,277.53028999995877,0.10842200026672799,19.235102749007638,2.401703953742981,2.07149600982666,1.423433250238304,336.2296132499978
tp_2_2,2048,1024,4,4,decode,1023,,3.358751279517702,,18.252639746269754,,4.5484615099395125,33296,33236.78592375367,5.48865987487781,5.4678284545454545,30.38382749952368,0.04799629811090891,0.1250632893928975,0.30560128307762036,0.2638326173216716,0.083605775126028,40.20835802148995
tp_2_2,8192,256,1,1,decode,255,,3.257267203050501,,18.172657947914274,,4.432175050997267,8478,8658.874509803922,5.458479921568627,5.4193335176470585,30.180357784254237,0.043367509879674034,0.10864661570510589,0.28887040019035337,0.26073286252863265,0.0865402900814718,39.281738270716126
tp_2_2,8192,256,1,1,prefill,1,63.258975982666016,,459.1564025878906,,78.5274887084961,,67109165,67109341,332.050126,364.447514,1531.3589210018108,0.09991600018111058,141.43078599954606,9.193344116210938,9.033760070800781,34.54947000136599,1839.9428360025922
tp_2_2,8192,256,4,1,prefill,4,66.76627922058105,,456.15721893310547,,77.78479194641113,,67109165,67109341.75,350.03455575,374.60184000000004,1541.2939577499856,0.12647350104089128,123.21243674978177,8.924991846084595,9.163576126098633,32.20872799829522,1833.997747248759
tp_2_2,8192,256,4,4,decode,255,,3.357265322816138,,18.173777972950656,,4.532644758037493,33296,33237.788235294116,5.4840427882352945,5.52820845882353,30.508033921397132,0.04885729026236553,0.12087954504143757,0.29992219560286576,0.2688090354788537,0.08845058031261478,40.371576596183274
